Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
177317:2165,60,4510087.32902,[1-60],4223204.60243
177318:2165,81,5979916.07392,[1-81],5647183.77774
177319:2165,359,19996249.8836,"[1-54], [56-224], [227-286], [289-351], [354-366]",19471748.7353
177449:2168,375,27567144.6483,"[56-80], [83-234], [236-392], [394-434]",26835252.0448
177452:2168,156,9768787.95689,[1-156],9431762.96253
177718:2177,1572,87221984.1749,"[53-62], [64-482], [485-656], [659-697], [699-701], [703-703], [706-1572], [1575-1635]",85439896.9477
177719:2177,701,25301135.9292,"[1-194], [197-694], [696-704]",24711092.6778
177730:2178,2237,115386770.061,"[49-88], [91-234], [237-448], [451-701], [704-773], [776-931], [933-1470], [1473-1763], [1766-1956], [1959-2266], [2268-2303]",113412783.691
177776:2180,33,2692564.52415,[73-105],2626264.16371
177782:2181,153,11706253.7501,"[72-75], [78-226]",11045431.0313
177783:2181,358,23372996.2554,"[1-94], [97-176], [178-234], [237-363]",22599450.6676
177788:2181,46,2477166.43047,[1-46],2295625.73504
177789:2181,82,4055192.74969,"[1-38], [41-82], [84-85]",3804912.66996
177790:2181,714,31540884.2902,"[1-189], [191-715]",31017565.6112
177791:2181,169,6400886.77357,"[1-27], [30-109], [137-198]",6180113.59177
177875:2182,513,34414163.4019,"[71-214], [217-367], [370-448], [451-589]",33681617.1582
177878:2182,837,40716019.6632,"[1-138], [143-492], [495-837], [839-844]",40070155.9709
178098:2195,680,46084841.6473,"[16-120], [122-142], [144-152], [155-179], [181-249], [251-549], [551-576], [579-619], [622-677], [679-707]",44752543.1824
178099:2195,191,10449545.94,[1-191],10069952.4246
178100:2195,1603,64938304.606,"[1-40], [43-163], [166-511], [514-529], [532-1114], [1117-1613]",64087065.3975
178101:2195,73,2280792.78123,"[1-61], [64-75]",2190439.49848
178102:2195,13,407740.116706,[1-13],345024.076109
178110:2197,407,31128171.4253,"[51-133], [135-197], [199-246], [252-396], [401-468]",30060717.9775
178116:2197,614,36532183.5415,"[1-120], [122-615]",35678830.8836
178151:2199,74,5888933.84785,[47-120],5752113.72946
178160:2200,483,35508881.0444,"[51-456], [458-534]",34652228.5707
178162:2200,165,10075821.7818,"[1-4], [7-55], [58-146], [149-171]",9699976.4437
178365:2204,1008,66210683.9395,"[43-96], [98-238], [241-380], [382-558], [560-660], [663-1050], [1053-1059]",64419255.3267
178367:2204,695,30779475.5032,"[22-135], [138-161], [163-264], [266-316], [318-366], [369-392], [395-548], [560-711], [713-737]",30150716.0424
